지점번호,지점명,일자,최고기온,폭염여부(O/X)
201,강화,2023.5.1,18.6,X
201,강화,2023.5.2,22.2,X
201,강화,2023.5.3,23.9,X
201,강화,2023.5.4,24.4,X
201,강화,2023.5.5,20.4,X
201,강화,2023.5.6,13.7,X
201,강화,2023.5.7,18.7,X
201,강화,2023.5.8,18.6,X
201,강화,2023.5.9,18.2,X
201,강화,2023.5.10,22.7,X
201,강화,2023.5.11,23,X
201,강화,2023.5.12,21.9,X
201,강화,2023.5.13,20.1,X
201,강화,2023.5.14,19.7,X
201,강화,2023.5.15,24.7,X
201,강화,2023.5.16,25.9,X
201,강화,2023.5.17,24.9,X
201,강화,2023.5.18,24.9,X
201,강화,2023.5.19,26.1,X
201,강화,2023.5.20,22.6,X
201,강화,2023.5.21,18.3,X
201,강화,2023.5.22,24.4,X
201,강화,2023.5.23,24,X
201,강화,2023.5.24,22.1,X
201,강화,2023.5.25,23.8,X
201,강화,2023.5.26,23.1,X
201,강화,2023.5.27,18.8,X
201,강화,2023.5.28,19.5,X
201,강화,2023.5.29,27.4,X
201,강화,2023.5.30,26.2,X
201,강화,2023.5.31,24.7,X
201,강화,2023.6.1,24.3,X
201,강화,2023.6.2,22.1,X
201,강화,2023.6.3,26.3,X
201,강화,2023.6.4,25.3,X
201,강화,2023.6.5,23.1,X
201,강화,2023.6.6,22.2,X
201,강화,2023.6.7,21.7,X
201,강화,2023.6.8,21.7,X
201,강화,2023.6.9,24.7,X
201,강화,2023.6.10,25.6,X
201,강화,2023.6.11,25.9,X
201,강화,2023.6.12,23.9,X
201,강화,2023.6.13,23,X
201,강화,2023.6.14,24.1,X
201,강화,2023.6.15,25.2,X
201,강화,2023.6.16,24.7,X
201,강화,2023.6.17,26.6,X
201,강화,2023.6.18,28.1,X
201,강화,2023.6.19,31.2,X
201,강화,2023.6.20,23.8,X
201,강화,2023.6.21,21.8,X
201,강화,2023.6.22,24.3,X
201,강화,2023.6.23,26.7,X
201,강화,2023.6.24,27.9,X
201,강화,2023.6.25,30.6,X
201,강화,2023.6.26,24.3,X
201,강화,2023.6.27,25.6,X
201,강화,2023.6.28,26.6,X
201,강화,2023.6.29,24.4,X
201,강화,2023.6.30,26.8,X
201,강화,2023.7.1,28.7,X
201,강화,2023.7.2,27.6,X
201,강화,2023.7.3,31.4,X
201,강화,2023.7.4,26.3,X
201,강화,2023.7.5,25.4,X
201,강화,2023.7.6,28.9,X
201,강화,2023.7.7,31.2,X
201,강화,2023.7.8,28.4,X
201,강화,2023.7.9,25.9,X
201,강화,2023.7.10,28.5,X
201,강화,2023.7.11,24.8,X
201,강화,2023.7.12,27.6,X
201,강화,2023.7.13,25.6,X
201,강화,2023.7.14,24.9,X
201,강화,2023.7.15,25,X
201,강화,2023.7.16,25.3,X
201,강화,2023.7.17,25.1,X
201,강화,2023.7.18,27.7,X
201,강화,2023.7.19,30.5,X
201,강화,2023.7.20,29.3,X
201,강화,2023.7.21,31.6,X
201,강화,2023.7.22,31.1,X
201,강화,2023.7.23,25.5,X
201,강화,2023.7.24,28,X
201,강화,2023.7.25,27.3,X
201,강화,2023.7.26,28.8,X
201,강화,2023.7.27,30.4,X
201,강화,2023.7.28,31.6,X
201,강화,2023.7.29,30.5,X
201,강화,2023.7.30,32.3,X
201,강화,2023.7.31,31.3,X
201,강화,2023.8.1,31.9,X
201,강화,2023.8.2,30.1,X
201,강화,2023.8.3,30.3,X
201,강화,2023.8.4,31.5,X
201,강화,2023.8.5,31.8,X
201,강화,2023.8.6,32,X
201,강화,2023.8.7,32.6,X
201,강화,2023.8.8,33.2,O
201,강화,2023.8.9,31.4,X
201,강화,2023.8.10,25.5,X
201,강화,2023.8.11,25.1,X
201,강화,2023.8.12,24.8,X
201,강화,2023.8.13,30.4,X
201,강화,2023.8.14,30.6,X
201,강화,2023.8.15,30.4,X
201,강화,2023.8.16,29.4,X
201,강화,2023.8.17,29.6,X
201,강화,2023.8.18,30.5,X
201,강화,2023.8.19,29.7,X
201,강화,2023.8.20,29.3,X
201,강화,2023.8.21,31.4,X
201,강화,2023.8.22,28.5,X
201,강화,2023.8.23,26,X
201,강화,2023.8.24,26.2,X
201,강화,2023.8.25,28.3,X
201,강화,2023.8.26,28.2,X
201,강화,2023.8.27,27.2,X
201,강화,2023.8.28,24.1,X
201,강화,2023.8.29,25.3,X
201,강화,2023.8.30,25.4,X
201,강화,2023.8.31,27.4,X
201,강화,2023.9.1,27.8,X
201,강화,2023.9.2,28.2,X
201,강화,2023.9.3,28.4,X
201,강화,2023.9.4,28.8,X
201,강화,2023.9.5,30.8,X
201,강화,2023.9.6,30.5,X
201,강화,2023.9.7,29.5,X
201,강화,2023.9.8,28.5,X
201,강화,2023.9.9,29.4,X
201,강화,2023.9.10,28.2,X
201,강화,2023.9.11,27.9,X
201,강화,2023.9.12,29.1,X
201,강화,2023.9.13,23.9,X
201,강화,2023.9.14,27.3,X
201,강화,2023.9.15,23.4,X
201,강화,2023.9.16,27.4,X
201,강화,2023.9.17,26.2,X
201,강화,2023.9.18,26.8,X
201,강화,2023.9.19,26.4,X
201,강화,2023.9.20,22.5,X
201,강화,2023.9.21,22.2,X
201,강화,2023.9.22,25.3,X
201,강화,2023.9.23,25.9,X
201,강화,2023.9.24,25,X
201,강화,2023.9.25,23.2,X
201,강화,2023.9.26,20.7,X
201,강화,2023.9.27,24.5,X
201,강화,2023.9.28,25.4,X
201,강화,2023.9.29,25.2,X
201,강화,2023.9.30,23.5,X