번호,권역,항목,경보단계,발령시간,발령농도,해제시간,해제농도
46,동부,PM10,주의보,2024-03-29 15,116,2024-03-29 22,95
45,남부,PM10,주의보,2024-03-29 14,129,2024-03-29 16,99
44,북부,PM10,주의보,2024-03-29 14,117,2024-03-29 20,93
43,중부,PM10,주의보,2024-03-29 13,103,2024-03-29 14,93
42,북부,PM10,경보,2024-03-29 04,362,2024-03-29 14,117
41,동부,PM10,경보,2024-03-29 04,370,2024-03-29 15,116
40,남부,PM10,경보,2024-03-29 04,368,2024-03-29 14,129
39,중부,PM10,경보,2024-03-29 03,346,2024-03-29 13,103
38,남부,PM10,주의보,2024-03-29 03,312,2024-03-29 04,368
37,동부,PM10,주의보,2024-03-29 02,274,2024-03-29 04,370
36,중부,PM10,주의보,2024-03-29 02,339,2024-03-29 03,346
35,북부,PM10,주의보,2024-03-29 01,224,2024-03-29 04,362
34,북부,PM10,주의보,2024-03-17 17,139,2024-03-17 18,82
33,북부,PM10,경보,2024-03-17 14,305,2024-03-17 17,139
32,남부,PM10,주의보,2024-03-17 13,190,2024-03-17 21,66
31,동부,PM10,주의보,2024-03-17 13,180,2024-03-17 20,63
30,북부,PM10,주의보,2024-03-17 12,264,2024-03-17 14,305
29,중부,PM10,주의보,2024-03-17 12,201,2024-03-17 19,87
28,북부,PM10,주의보,2023-11-23 13,154,2023-11-23 18,84
27,동부,PM10,주의보,2023-11-23 13,155,2023-11-23 20,58
26,남부,PM10,주의보,2023-11-23 11,173,2023-11-23 20,72
25,중부,PM10,주의보,2023-11-23 09,159,2023-11-23 19,79
24,동부,PM10,주의보,2023-05-22 14,170,2023-05-22 22,91
23,북부,PM10,주의보,2023-05-22 13,155,2023-05-22 21,92
22,남부,PM10,주의보,2023-05-22 11,158,2023-05-22 23,88
21,중부,PM10,주의보,2023-05-22 11,152,2023-05-23 04,96
20,동부,PM10,주의보,2023-05-21 15,166,2023-05-21 24,99
19,북부,PM10,주의보,2023-05-21 14,168,2023-05-21 21,94
18,남부,PM10,주의보,2023-04-22 02,170,2023-04-22 14,92
17,중부,PM10,주의보,2023-04-16 16,158,2023-04-17 05,96
16,남부,PM10,주의보,2023-04-16 14,151,2023-04-16 24,96
15,남부,PM10,주의보,2023-04-14 02,135,2023-04-14 13,81
14,중부,PM10,주의보,2023-04-14 01,144,2023-04-14 12,87
13,동부,PM10,주의보,2023-04-13 22,148,2023-04-14 12,94
12,북부,PM10,주의보,2023-04-13 21,144,2023-04-14 12,88
11,남부,PM10,경보,2023-04-12 03,319,2023-04-14 02,135
10,동부,PM10,경보,2023-04-12 02,335,2023-04-13 22,148
9,중부,PM10,경보,2023-04-12 01,392,2023-04-14 01,144
8,남부,PM10,주의보,2023-04-11 24,218,2023-04-12 03,319
7,중부,PM10,주의보,2023-04-11 24,361,2023-04-12 01,392
6,동부,PM10,주의보,2023-04-11 24,251,2023-04-12 02,335
5,북부,PM10,경보,2023-04-11 24,434,2023-04-13 21,144
4,북부,PM10,주의보,2023-04-11 23,308,2023-04-11 24,434
3,동부,PM10,주의보,2023-04-07 01,163,2023-04-07 10,99
2,남부,PM10,주의보,2023-04-06 24,168,2023-04-07 09,99
1,중부,PM10,주의보,2023-04-06 21,155,2023-04-07 04,99